H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
0.738516,0.0704529,1.58405,3.14515,2.50656,3.41849,0.0528885,1.57902,3.65948,1.0321,1674.81
0,2.73701,9.53204e-44,1.09276e-287,0,2.91937e-283,3.81243e-282,0,0,0,502.926
1.81016e-08,2.73701,1.20613e-11,1.4523e-11,1.01045e-11,1.11067e-19,5.24161e-12,4.40788e-13,2.00688e-13,1.97309e-32,503.224
2.55963e-17,2.73701,2.2335e-22,2.49183e-22,6.25521e-23,1.27368e-21,8.52103e-19,1.19704e-24,1.87846e-25,6.63077e-46,507.47
1.49479e-75,2.73701,1.16376e-42,1.11143e-99,5.68228e-140,9.92984e-97,5.25001e-94,1.41428e-151,2.49461e-162,6.24385e-248,502.104
1.71295e-19,2.73701,1.64707e-32,1.11398e-32,6.12742e-36,5.5217e-41,1.94717e-37,9.81167e-40,5.17087e-43,2.17845e-80,502.159
1.11395,0.621189,1.26273,1.1397,2.52067,1.59201,1.00267,2.03265,1.59915,1.36464,1188.3
6.1125e-95,2.737,4.60116e-43,4.08533e-119,1.33805e-165,5.30469e-116,1.77074e-113,1.98918e-177,7.88341e-190,3.68098e-293,497.612
1.36982e-37,2.73701,4.4924e-43,1.18248e-53,6.88457e-64,1.08028e-54,2.64445e-49,4.68e-69,6.16116e-74,2.05869e-123,505.061
1.22518e-16,2.73701,2.23036e-30,1.52188e-30,4.64759e-34,4.72686e-38,1.85675e-34,3.99419e-38,7.82796e-42,7.5323e-76,502.559
4.60714e-05,2.73701,3.75639e-10,8.54805e-10,4.88768e-10,5.60585e-14,1.90746e-09,3.89671e-11,1.85809e-12,8.86499e-25,502.655
4.3848e-253,2.73701,1.7603e-43,1.51585e-223,0,1.75581e-219,5.19675e-218,0,0,0,503.055
2.45557e-35,2.73701,1.76002e-42,4.01259e-59,2.16595e-68,1.31512e-56,2.21153e-53,4.7658e-75,1.0082e-81,2.59266e-131,502.879
0.258622,1.88313,0.245507,0.343552,1.16608,0.0866309,2.86072,0.682421,0.836189,0.0260636,903.463
0.144393,0.780082,3.66583,2.45858,2.48254,1.42598,0.599836,1.13939,2.47986,0.470469,1403.83
1.53206e-77,2.73701,8.37972e-43,1.20342e-101,1.64436e-130,1.15535e-98,4.50872e-96,3.01682e-139,5.04293e-148,1.52373e-237,500.36
3.86475e-62,2.73701,9.92078e-43,2.12114e-86,5.93239e-112,1.88608e-83,1.1042e-80,7.38192e-121,4.68402e-130,5.42439e-204,502.98
4.21774e-113,2.73701,4.36117e-43,4.0746e-115,8.38315e-180,4.99324e-112,1.28212e-109,1.34015e-190,7.97539e-202,2.58686e-302,501.968
0.226203,1.50163,0.643774,0.555504,1.78218,0.207194,1.662,0.918396,1.28683,0.0878376,1094.23
1.02371e-56,2.73701,1.64319e-43,1.91696e-56,2.89401e-83,8.39478e-53,6.27378e-51,1.41307e-88,9.60652e-94,5.10803e-139,503.24
1.71847e-05,2.73701,9.30227e-10,1.455e-09,5.78203e-10,1.32754e-14,4.13352e-10,1.65984e-11,3.75368e-12,8.75606e-26,505.724
9.742e-75,2.73701,1.05347e-42,8.65841e-99,1.95558e-136,8.11666e-96,3.8173e-93,1.96177e-147,3.53888e-159,6.9827e-243,503.946
0.931333,0.0394117,0.866595,1.4405,2.99824,3.96044,0.0464973,2.1519,2.8,1.99597,1465.97
0.90745,0.0359593,1.05731,2.70289,2.55245,3.52456,0.0278159,1.68215,3.59515,1.12672,1683.36
9.69131e-37,2.73701,1.16876e-42,1.3338e-60,9.14757e-70,6.24702e-58,6.57682e-55,1.72796e-76,2.52115e-83,4.2794e-134,506.205
5.44523,0.0190996,0.0139737,0.0122931,0.405573,0.353841,0.166521,4.1417,0.402208,6.20423,654.951
1.63236e-122,2.73701,4.31257e-43,1.43259e-122,4.47771e-193,2.09851e-119,4.53341e-117,2.70836e-204,6.70054e-216,0,502.915
6.23497,5.69047e-05,1.20488e-05,1.33057e-05,0.00459134,0.026098,0.00174698,4.48696,0.0031171,5.57604,502.961
