sfr_eff,uox_eff,bias,lwr_fr,fr_fr,fr_start,excess,max_excess,waste_U,waste_Np,waste_Pu,waste_Am,waste_Cm
0.99,0.999,0.09351860942028567,1,11,32,641559.3412688416,12656.781740583072,1735488705.793387,154073.08200358908,86022.33854519542,141584.30331607006,30033.98348325694
0.9,0.9,-0.03709854365754353,4,11,20,-1486940.6587311584,38.80961576054324,2005979920.8683274,173511.35062786887,568691.7030956014,95860.36881483361,33823.15048902368
0.999,0.999,0.0940202934331826,3,10,34,693059.3412688423,13273.862389569287,2198928303.6587267,191020.49053034603,7143.677109271383,113514.16593572158,37236.26595214359
0.999,0.9,-0.09715150064615213,3,13,20,-2481390.6587311584,0.0,1798025036.9528039,158262.04725841174,311548.1165487161,93572.82863832406,30850.552553202506
0.99,0.9,-0.007857866795322216,2,12,35,-1024457.3253978248,310.0558000524288,1886078240.5592208,163810.5889663485,362953.4777923397,110044.38933882263,31932.148428648616
0.99,0.9,0.07582569293563038,2,11,28,379159.34126884217,7434.006304027338,2046000375.2882686,177259.37217885585,393664.0613387213,119860.23682555053,34553.76492143025
0.9,0.9,0.05234929496564736,4,13,29,6909.341268842123,1287.3348713849846,2194198658.486514,189826.26796758332,618197.4233157362,104512.86925155517,37003.4721359953
0.99,0.999,0.06740701135887045,1,12,37,205426.00793550865,4114.3218581010005,1696568293.111011,150582.27761776687,83295.64050221766,137704.7988502717,29353.50925697618
0.9,0.9,-0.055566933741696925,3,12,37,-1796840.658731158,0.0,1914131796.0659122,165500.87319526044,612014.0227495714,97738.31795923862,32261.64121189809
0.99,0.99,0.04871960163228706,4,12,32,-44223.99206449137,1097.6624796631004,2169595462.2011127,189311.83364345873,61665.921727696405,104261.92246537241,36903.19172495215
0.999,0.9,-0.009991885635563677,3,10,31,-1045290.6587311579,310.0558000524288,1993161401.397587,172758.07178669688,340146.3665177572,102717.77711325526,33676.31131387461
0.999,0.999,0.09664755796926475,2,14,30,726509.3412688419,13960.90745067544,2084416282.994952,181319.72886871686,8320.85177241958,121638.91458608542,35345.263891747214
0.99,0.9,-0.07541900893456872,1,10,30,-2175840.658731158,0.0,1453006667.2034385,129857.9231510973,323979.1517348353,119924.93139726124,25313.641217349475
0.999,0.999,0.05669029301647022,2,12,39,64926.00793550874,1356.781740583072,1985605267.6984324,174558.59195284537,8028.355596802605,117284.24764299324,34027.292758707015
0.9,0.9,-0.05183670682654706,2,12,32,-1748723.9920644925,0.0,1796804288.722298,156645.25364821753,720620.1182591006,105253.16878341719,30535.385543151377
0.999,0.9,0.015135779543042169,4,14,35,-605273.9920644911,1000.0,2126884727.7296345,183506.07476390322,360384.7454922322,100780.34849146377,35771.455642122324
0.999,0.999,-0.02560879378988283,3,14,24,-1301273.9920644923,262.66666666666606,1927880006.6289947,170626.8438547914,6314.632843896117,100784.2488376175,33260.86389325095
0.9,0.999,0.015112623950097603,2,13,24,-623207.3253978246,1000.0,1915593941.2159681,167632.10114508445,450399.52938431426,112893.36129999584,32677.08863601387
0.9,0.9,-0.02112453970498289,2,10,26,-1241740.6587311581,262.66666666666606,1838527894.7151136,160944.45483911163,752290.4665196927,109192.692650334,31373.443274452922
0.99,0.99,0.07726729092070747,2,10,25,399092.6746021755,7740.529056235915,2005545700.9849641,176800.05581806734,82910.51613312564,120191.70303800264,34464.22884014935
0.99,0.999,0.0557928334091895,2,13,28,45642.67460217539,1494.3535964997718,1995901660.76884,174209.51151423968,49687.072548539305,117154.36420172651,33959.245336074244
0.9,0.999,0.06746357217170312,2,12,26,250142.67460217513,4800.672970693966,2003777842.4750144,176138.64025386135,474620.4827577342,118745.88491929654,34335.296882193965
0.999,0.999,-0.03203407130933522,4,11,32,-1400007.3253978246,262.66666666666606,1989060946.5053694,174540.21929829204,5700.875639101208,96270.34812015509,34023.711315431894
0.9,0.999,-0.06187263457203307,4,12,35,-1897273.9920644918,0.0,1927555090.9580724,169432.6213020776,224027.51756917394,93253.58057057632,33028.0700790618
